--- Iniciando consumidor de predicciones ---
Conectado a Kafka. Esperando eventos...
Switzerland 2015 | real=7.587 predicho=7.186
Iceland 2015 | real=7.561 predicho=6.912
Denmark 2015 | real=7.527 predicho=7.084
Norway 2015 | real=7.522 predicho=7.146
Canada 2015 | real=7.427 predicho=6.992
Finland 2015 | real=7.406 predicho=6.930
Netherlands 2015 | real=7.378 predicho=6.921
Sweden 2015 | real=7.364 predicho=7.073
New Zealand 2015 | real=7.286 predicho=7.015
Australia 2015 | real=7.284 predicho=7.063
Israel 2015 | real=7.278 predicho=6.248
Costa Rica 2015 | real=7.226 predicho=6.260
Austria 2015 | real=7.200 predicho=6.791
Mexico 2015 | real=7.187 predicho=5.847
United States 2015 | real=7.119 predicho=6.659
Brazil 2015 | real=6.983 predicho=5.872
Luxembourg 2015 | real=6.946 predicho=7.114
Ireland 2015 | real=6.940 predicho=6.965
Belgium 2015 | real=6.937 predicho=6.690
United Arab Emirates 2015 | real=6.901 predicho=6.819
United Kingdom 2015 | real=6.867 predicho=6.871
Oman 2015 | real=6.853 predicho=6.584
Venezuela 2015 | real=6.810 predicho=5.799
Singapore 2015 | real=6.798 predicho=7.054
Panama 2015 | real=6.786 predicho=6.103
Germany 2015 | real=6.750 predicho=6.777
Chile 2015 | real=6.670 predicho=6.076
Qatar 2015 | real=6.611 predicho=7.159
France 2015 | real=6.575 predicho=6.598
Argentina 2015 | real=6.574 predicho=5.918
Czech Republic 2015 | real=6.505 predicho=6.054
Uruguay 2015 | real=6.485 predicho=6.340
Colombia 2015 | real=6.477 predicho=5.792
Thailand 2015 | real=6.455 predicho=6.082
Saudi Arabia 2015 | real=6.411 predicho=6.039
Spain 2015 | real=6.329 predicho=6.369
Malta 2015 | real=6.302 predicho=6.661
Taiwan 2015 | real=6.298 predicho=6.107
Kuwait 2015 | real=6.295 predicho=6.590
Suriname 2015 | real=6.269 predicho=5.735
Trinidad and Tobago 2015 | real=6.168 predicho=6.001
El Salvador 2015 | real=6.130 predicho=5.295
Guatemala 2015 | real=6.123 predicho=5.562
Uzbekistan 2015 | real=6.003 predicho=5.881
Slovakia 2015 | real=5.995 predicho=5.823
Japan 2015 | real=5.987 predicho=6.534
South Korea 2015 | real=5.984 predicho=5.961
Ecuador 2015 | real=5.975 predicho=5.695
Bahrain 2015 | real=5.960 predicho=6.317
Italy 2015 | real=5.948 predicho=5.991
Bolivia 2015 | real=5.890 predicho=5.287
Moldova 2015 | real=5.889 predicho=4.889
Paraguay 2015 | real=5.878 predicho=5.736
Kazakhstan 2015 | real=5.855 predicho=5.824
Slovenia 2015 | real=5.848 predicho=6.432
Lithuania 2015 | real=5.833 predicho=5.488
Nicaragua 2015 | real=5.828 predicho=5.650
Peru 2015 | real=5.824 predicho=5.445
Belarus 2015 | real=5.813 predicho=5.797
Poland 2015 | real=5.791 predicho=6.112
Malaysia 2015 | real=5.770 predicho=6.007
Croatia 2015 | real=5.759 predicho=5.264
Libya 2015 | real=5.754 predicho=5.795
Russia 2015 | real=5.716 predicho=5.631
Jamaica 2015 | real=5.709 predicho=5.561
North Cyprus 2015 | real=5.695 predicho=6.277
Cyprus 2015 | real=5.689 predicho=5.976
Algeria 2015 | real=5.605 predicho=5.280
Kosovo 2015 | real=5.589 predicho=4.893
Turkmenistan 2015 | real=5.548 predicho=5.743
Mauritius 2015 | real=5.477 predicho=5.856
Hong Kong 2015 | real=5.474 predicho=6.951
Estonia 2015 | real=5.429 predicho=6.024
Indonesia 2015 | real=5.399 predicho=5.509
Vietnam 2015 | real=5.360 predicho=5.480
Turkey 2015 | real=5.332 predicho=5.363
Kyrgyzstan 2015 | real=5.286 predicho=5.128
Nigeria 2015 | real=5.268 predicho=4.370
Bhutan 2015 | real=5.253 predicho=5.597
Azerbaijan 2015 | real=5.212 predicho=5.413
Pakistan 2015 | real=5.194 predicho=4.139
Jordan 2015 | real=5.192 predicho=5.499
Montenegro 2015 | real=5.192 predicho=5.174
China 2015 | real=5.140 predicho=5.629
Zambia 2015 | real=5.129 predicho=4.633
Romania 2015 | real=5.124 predicho=5.424
Serbia 2015 | real=5.123 predicho=5.170
Portugal 2015 | real=5.102 predicho=6.104
Latvia 2015 | real=5.098 predicho=5.563
Philippines 2015 | real=5.073 predicho=5.527
Somaliland region 2015 | real=5.057 predicho=4.856
Morocco 2015 | real=5.013 predicho=4.894
Macedonia 2015 | real=5.007 predicho=5.387
Mozambique 2015 | real=4.971 predicho=3.881
Albania 2015 | real=4.959 predicho=5.319
Bosnia and Herzegovina 2015 | real=4.949 predicho=4.906
Lesotho 2015 | real=4.898 predicho=4.076
Dominican Republic 2015 | real=4.885 predicho=5.844
Laos 2015 | real=4.876 predicho=5.281
Mongolia 2015 | real=4.874 predicho=5.521
Swaziland 2015 | real=4.867 predicho=4.341
Greece 2015 | real=4.857 predicho=5.233
Lebanon 2015 | real=4.839 predicho=5.478
Hungary 2015 | real=4.800 predicho=5.677
Honduras 2015 | real=4.788 predicho=5.105
Tajikistan 2015 | real=4.786 predicho=4.861
Tunisia 2015 | real=4.739 predicho=4.911
Palestinian Territories 2015 | real=4.715 predicho=4.807
Bangladesh 2015 | real=4.694 predicho=4.479
Iran 2015 | real=4.686 predicho=5.119
Ukraine 2015 | real=4.681 predicho=5.160
Iraq 2015 | real=4.677 predicho=4.692
South Africa 2015 | real=4.642 predicho=4.935
Ghana 2015 | real=4.633 predicho=4.515
Zimbabwe 2015 | real=4.610 predicho=4.171
Liberia 2015 | real=4.571 predicho=3.861
India 2015 | real=4.565 predicho=4.551
Sudan 2015 | real=4.550 predicho=4.253
Haiti 2015 | real=4.518 predicho=4.183
Congo (Kinshasa) 2015 | real=4.517 predicho=3.559
Nepal 2015 | real=4.514 predicho=4.655
Ethiopia 2015 | real=4.512 predicho=4.271
Sierra Leone 2015 | real=4.507 predicho=4.008
Mauritania 2015 | real=4.436 predicho=4.326
Kenya 2015 | real=4.419 predicho=4.643
Djibouti 2015 | real=4.369 predicho=4.532
Armenia 2015 | real=4.350 predicho=4.798
Botswana 2015 | real=4.332 predicho=4.942
Myanmar 2015 | real=4.307 predicho=4.725
Georgia 2015 | real=4.297 predicho=5.085
Malawi 2015 | real=4.292 predicho=3.662
Sri Lanka 2015 | real=4.271 predicho=5.698
Cameroon 2015 | real=4.252 predicho=4.444
Bulgaria 2015 | real=4.218 predicho=5.470
Egypt 2015 | real=4.194 predicho=4.741
Yemen 2015 | real=4.077 predicho=4.387
Angola 2015 | real=4.033 predicho=4.046
Mali 2015 | real=3.995 predicho=4.238
Congo (Brazzaville) 2015 | real=3.989 predicho=4.526
Comoros 2015 | real=3.956 predicho=4.050
Uganda 2015 | real=3.931 predicho=4.527
Senegal 2015 | real=3.904 predicho=4.545
Gabon 2015 | real=3.896 predicho=5.048
Niger 2015 | real=3.845 predicho=4.145
Cambodia 2015 | real=3.819 predicho=5.114
Tanzania 2015 | real=3.781 predicho=4.371
Madagascar 2015 | real=3.681 predicho=3.924
Central African Republic 2015 | real=3.678 predicho=3.304
Chad 2015 | real=3.667 predicho=3.760
Guinea 2015 | real=3.656 predicho=3.814
Ivory Coast 2015 | real=3.655 predicho=4.360
Burkina Faso 2015 | real=3.587 predicho=4.213
Afghanistan 2015 | real=3.575 predicho=3.710
Rwanda 2015 | real=3.465 predicho=4.965
Benin 2015 | real=3.340 predicho=4.038
Syria 2015 | real=3.006 predicho=4.678
Burundi 2015 | real=2.905 predicho=3.153
Togo 2015 | real=2.839 predicho=3.599
Denmark 2016 | real=7.526 predicho=6.830
Switzerland 2016 | real=7.509 predicho=6.937
Iceland 2016 | real=7.501 predicho=6.705
Norway 2016 | real=7.498 predicho=6.900
Finland 2016 | real=7.413 predicho=6.713
Canada 2016 | real=7.404 predicho=6.740
Netherlands 2016 | real=7.339 predicho=6.663
New Zealand 2016 | real=7.334 predicho=6.834
Australia 2016 | real=7.313 predicho=6.789
Sweden 2016 | real=7.291 predicho=6.814
Israel 2016 | real=7.267 predicho=6.043
